Tenderness,bridge,D',Bb:maj7,bVII,maj7,10,10,0
Tenderness,trans,C',F:maj,IV,maj,1,4,0
Tenderness,trans,C',F:maj,IV,maj,2,4,0
Tenderness,trans,C',C:maj,I,maj,3,4,0
Tenderness,trans,C',G:maj,V,maj,4,4,0
Tenderness,trans,C',F:maj,IV,maj,1,4,0
Tenderness,trans,C',F:maj,IV,maj,2,4,0
Tenderness,trans,C',C:maj,I,maj,3,4,0
Tenderness,trans,C',G:maj,V,maj,4,4,0
Tenderness,chorus,C,F:maj6/9,IV,maj6/9,1,4,0
Tenderness,chorus,C,F:maj,IV,maj,2,4,0
Tenderness,chorus,C,C:maj,I,maj,3,4,0
Tenderness,chorus,C,G:maj,V,maj,4,4,0
Tenderness,chorus,C,F:maj6/9,IV,maj6/9,1,4,0
Tenderness,chorus,C,F:maj,IV,maj,2,4,0
Tenderness,chorus,C,C:maj,I,maj,3,4,0
Tenderness,chorus,C,G:maj,V,maj,4,4,0
Tenderness,bridge,D,E:min,III,min,1,8,0
Tenderness,bridge,D,E:min,III,min,2,8,0
Tenderness,bridge,D,F:maj,IV,maj,3,8,0
Tenderness,bridge,D,G:maj,V,maj,4,8,0
Tenderness,bridge,D,E:min,III,min,5,8,0
Tenderness,bridge,D,E:min,III,min,6,8,0
Tenderness,bridge,D,A:min,VI,min,7,8,0
Tenderness,bridge,D,G:maj,V,maj,8,8,0
Tenderness,bridge,D,E:min,III,min,1,8,0
Tenderness,bridge,D,E:min,III,min,2,8,0
Tenderness,bridge,D,F:maj,IV,maj,3,8,0
Tenderness,bridge,D,G:maj,V,maj,4,8,0
Tenderness,bridge,D,E:min,III,min,5,8,0
Tenderness,bridge,D,E:min,III,min,6,8,0
Tenderness,bridge,D,A:min,VI,min,7,8,0
Tenderness,bridge,D,G:maj,V,maj,8,8,0
Tenderness,chorus,C,F:maj6/9,IV,maj6/9,1,8,0
Tenderness,chorus,C,F:maj,IV,maj,2,8,0
Tenderness,chorus,C,C:maj,I,maj,3,8,0
Tenderness,chorus,C,G:maj,V,maj,4,8,0
Tenderness,chorus,C,F:maj6/9,IV,maj6/9,5,8,0
Tenderness,chorus,C,F:maj,IV,maj,6,8,0
Tenderness,chorus,C,C:maj,I,maj,7,8,0
Tenderness,chorus,C,G:maj,V,maj,8,8,0
Tenderness,chorus,C,F:maj6/9,IV,maj6/9,1,8,0
Tenderness,chorus,C,F:maj,IV,maj,2,8,0
Tenderness,chorus,C,C:maj,I,maj,3,8,0
Tenderness,chorus,C,G:maj,V,maj,4,8,0
Tenderness,chorus,C,F:maj6/9,IV,maj6/9,5,8,0
Tenderness,chorus,C,F:maj,IV,maj,6,8,0
Tenderness,chorus,C,C:maj,I,maj,7,8,0
Tenderness,chorus,C,G:maj,V,maj,8,8,0
Tenderness,fadeout,,F:maj6/9,IV,maj6/9,1,8,0
Tenderness,fadeout,,F:maj,IV,maj,2,8,0
Tenderness,fadeout,,C:maj,I,maj,3,8,0
Tenderness,fadeout,,G:maj,V,maj,4,8,0
Tenderness,fadeout,,F:maj6/9,IV,maj6/9,5,8,0
Tenderness,fadeout,,F:maj,IV,maj,6,8,0
Tenderness,fadeout,,C:maj,I,maj,7,8,0
Tenderness,fadeout,,G:maj,V,maj,8,8,0
Tenderness,fadeout,,F:maj6/9,IV,maj6/9,1,8,0
Tenderness,fadeout,,F:maj,IV,maj,2,8,0
Tenderness,fadeout,,C:maj,I,maj,3,8,0
Tenderness,fadeout,,G:maj,V,maj,4,8,0
Tenderness,fadeout,,F:maj6/9,IV,maj6/9,5,8,0
Tenderness,fadeout,,F:maj,IV,maj,6,8,0
Tenderness,fadeout,,C:maj,I,maj,7,8,0
Tenderness,fadeout,,G:maj,V,maj,8,8,0
Tenderness,fadeout,,F:maj6/9,IV,maj6/9,1,4,0
Tenderness,fadeout,,F:maj,IV,maj,2,4,0
Tenderness,fadeout,,C:maj,I,maj,3,4,0
Tenderness,fadeout,,G:maj,V,maj,4,4,0

TaintedLove,intro,A,G:1,I,1,1,2,0
TaintedLove,intro,A,G:1,I,1,2,2,0
TaintedLove,trans,B,G:1,I,1,1,2,0
TaintedLove,trans,B,Bb:1,bIII,1,1,2,0
TaintedLove,trans,B,Eb:1,bVI,1,1,2,0
TaintedLove,trans,B,C:1,IV,1,1,2,0
TaintedLove,trans,B,G:1,I,1,2,2,0
TaintedLove,trans,B,Bb:1,bIII,1,2,2,0
TaintedLove,trans,B,Eb:1,bVI,1,2,2,0
TaintedLove,trans,B,C:1,IV,1,2,2,0
TaintedLove,verse,C,G:1,I,1,1,4,0
TaintedLove,verse,C,Bb:1,bIII,1,1,4,0
TaintedLove,verse,C,Eb:1,bVI,1,1,4,0
TaintedLove,verse,C,C:1,IV,1,1,4,0
TaintedLove,verse,C,G:1,I,1,2,4,0
TaintedLove,verse,C,Bb:1,bIII,1,2,4,0
TaintedLove,verse,C,Eb:1,bVI,1,2,4,0
TaintedLove,verse,C,C:1,IV,1,2,4,0
TaintedLove,verse,C,G:1,I,1,3,4,0
TaintedLove,verse,C,Bb:1,bIII,1,3,4,0
TaintedLove,verse,C,Eb:1,bVI,1,3,4,0
TaintedLove,verse,C,C:1,IV,1,3,4,0
TaintedLove,verse,C,G:1,I,1,4,4,0
TaintedLove,verse,C,G:min/b3,I,min/b3,4,4,0
TaintedLove,verse,C,G:1,I,1,1,4,0
TaintedLove,verse,C,G:min/b3,I,min/b3,1,4,0
TaintedLove,verse,C,G:1,I,1,2,4,0
TaintedLove,verse,C,G:min/b3,I,min/b3,2,4,0
TaintedLove,verse,C,G:1,I,1,3,4,0
TaintedLove,verse,C,G:min/b3,I,min/b3,3,4,0
TaintedLove,verse,C,G:1,I,1,4,4,0
TaintedLove,verse,C,Bb:1,bIII,1,4,4,0
TaintedLove,chorus,D,G:1,I,1,1,5,0
TaintedLove,chorus,D,Bb:1,bIII,1,2,5,0
TaintedLove,chorus,D,Eb:1,bVI,1,3,5,0
TaintedLove,chorus,D,C:min,IV,min,4,5,0
TaintedLove,chorus,D,C:min,IV,min,5,5,0
TaintedLove,trans,B,G:1,I,1,1,2,0
TaintedLove,trans,B,Bb:1,bIII,1,1,2,0
TaintedLove,trans,B,Eb:1,bVI,1,1,2,0
TaintedLove,trans,B,C:1,IV,1,1,2,0
TaintedLove,trans,B,G:1,I,1,2,2,0
TaintedLove,trans,B,Bb:1,bIII,1,2,2,0
TaintedLove,trans,B,Eb:1,bVI,1,2,2,0
TaintedLove,trans,B,C:1,IV,1,2,2,0
TaintedLove,verse,C,G:1,I,1,1,4,0
TaintedLove,verse,C,Bb:1,bIII,1,1,4,0
TaintedLove,verse,C,Eb:1,bVI,1,1,4,0
TaintedLove,verse,C,C:1,IV,1,1,4,0
TaintedLove,verse,C,G:1,I,1,2,4,0
TaintedLove,verse,C,Bb:1,bIII,1,2,4,0
TaintedLove,verse,C,Eb:1,bVI,1,2,4,0
TaintedLove,verse,C,C:1,IV,1,2,4,0
TaintedLove,verse,C,G:1,I,1,3,4,0
TaintedLove,verse,C,Bb:1,bIII,1,3,4,0
TaintedLove,verse,C,Eb:1,bVI,1,3,4,0
TaintedLove,verse,C,C:1,IV,1,3,4,0
TaintedLove,verse,C,G:1,I,1,4,4,0
TaintedLove,verse,C,G:min/b3,I,min/b3,4,4,0
TaintedLove,verse,C,G:1,I,1,1,4,0
TaintedLove,verse,C,G:min/b3,I,min/b3,1,4,0
TaintedLove,verse,C,G:1,I,1,2,4,0
TaintedLove,verse,C,G:min/b3,I,min/b3,2,4,0
TaintedLove,verse,C,G:1,I,1,3,4,0
TaintedLove,verse,C,G:min/b3,I,min/b3,3,4,0
TaintedLove,verse,C,G:1,I,1,4,4,0
TaintedLove,verse,C,Bb:1,bIII,1,4,4,0
TaintedLove,chorus,D,G:1,I,1,1,5,0
TaintedLove,chorus,D,Bb:1,bIII,1,2,5,0
TaintedLove,chorus,D,Eb:1,bVI,1,3,5,0
TaintedLove,chorus,D,C:min,IV,min,4,5,0
TaintedLove,chorus,D,C:min,IV,min,5,5,0
TaintedLove,trans,B,G:1,I,1,1,2,0
TaintedLove,trans,B,Bb:1,bIII,1,1,2,0
TaintedLove,trans,B,Eb:1,bVI,1,1,2,0
TaintedLove,trans,B,C:1,IV,1,1,2,0
TaintedLove,trans,B,G:1,I,1,2,2,0
TaintedLove,trans,B,Bb:1,bIII,1,2,2,0
TaintedLove,trans,B,Eb:1,bVI,1,2,2,0
TaintedLove,trans,B,C:1,IV,1,2,2,0
TaintedLove,verse,C,G:1,I,1,1,4,0
TaintedLove,verse,C,Bb:1,bIII,1,1,4,0
TaintedLove,verse,C,Eb:1,bVI,1,1,4,0
TaintedLove,verse,C,C:1,IV,1,1,4,0
TaintedLove,verse,C,G:1,I,1,2,4,0
TaintedLove,verse,C,Bb:1,bIII,1,2,4,0
TaintedLove,verse,C,Eb:1,bVI,1,2,4,0
TaintedLove,verse,C,C:1,IV,1,2,4,0
TaintedLove,verse,C,G:1,I,1,3,4,0
TaintedLove,verse,C,Bb:1,bIII,1,3,4,0
TaintedLove,verse,C,Eb:1,bVI,1,3,4,0
TaintedLove,verse,C,C:1,IV,1,3,4,0
TaintedLove,verse,C,G:1,I,1,4,4,0
TaintedLove,verse,C,G:min/b3,I,min/b3,4,4,0
TaintedLove,trans,B,G:1,I,1,1,2,0
TaintedLove,trans,B,Bb:1,bIII,1,1,2,0
TaintedLove,trans,B,Eb:1,bVI,1,1,2,0
TaintedLove,trans,B,C:1,IV,1,1,2,0
TaintedLove,trans,B,G:1,I,1,2,2,0
TaintedLove,trans,B,Bb:1,bIII,1,2,2,0
TaintedLove,trans,B,Eb:1,bVI,1,2,2,0
TaintedLove,trans,B,C:1,IV,1,2,2,0
TaintedLove,trans,B,G:1,I,1,1,2,0
TaintedLove,trans,B,Bb:1,bIII,1,1,2,0
TaintedLove,trans,B,Eb:1,bVI,1,1,2,0
TaintedLove,trans,B,C:1,IV,1,1,2,0
TaintedLove,trans,B,G:1,I,1,2,2,0
TaintedLove,trans,B,Bb:1,bIII,1,2,2,0
TaintedLove,trans,B,Eb:1,bVI,1,2,2,0
TaintedLove,trans,B,C:1,IV,1,2,2,0
TaintedLove,trans,B,G:1,I,1,1,2,0
TaintedLove,trans,B,Bb:1,bIII,1,1,2,0
TaintedLove,trans,B,Eb:1,bVI,1,1,2,0
TaintedLove,trans,B,C:1,IV,1,1,2,0
TaintedLove,trans,B,G:1,I,1,2,2,0
TaintedLove,trans,B,Bb:1,bIII,1,2,2,0
TaintedLove,trans,B,Eb:1,bVI,1,2,2,0
TaintedLove,trans,B,C:1,IV,1,2,2,0
TaintedLove,fadeout,,G:1,I,1,1,6,0
TaintedLove,fadeout,,Bb:1,bIII,1,1,6,0
TaintedLove,fadeout,,Eb:1,bVI,1,1,6,0
TaintedLove,fadeout,,C:1,IV,1,1,6,0
TaintedLove,fadeout,,G:1,I,1,2,6,0
TaintedLove,fadeout,,Bb:1,bIII,1,2,6,0
TaintedLove,fadeout,,Eb:1,bVI,1,2,6,0
TaintedLove,fadeout,,C:1,IV,1,2,6,0
TaintedLove,fadeout,,G:1,I,1,3,6,0
TaintedLove,fadeout,,Bb:1,bIII,1,3,6,0
TaintedLove,fadeout,,Eb:1,bVI,1,3,6,0
TaintedLove,fadeout,,C:1,IV,1,3,6,0
TaintedLove,fadeout,,G:1,I,1,4,6,0
TaintedLove,fadeout,,Bb:1,bIII,1,4,6,0
TaintedLove,fadeout,,Eb:1,bVI,1,4,6,0
TaintedLove,fadeout,,C:1,IV,1,4,6,0
TaintedLove,fadeout,,G:1,I,1,5,6,0
TaintedLove,fadeout,,Bb:1,bIII,1,5,6,0
TaintedLove,fadeout,,Eb:1,bVI,1,5,6,0
TaintedLove,fadeout,,C:1,IV,1,5,6,0
TaintedLove,fadeout,,G:1,I,1,6,6,0
TaintedLove,fadeout,,Bb:1,bIII,1,6,6,0
TaintedLove,fadeout,,Eb:1,bVI,1,6,6,0
TaintedLove,fadeout,,C:1,IV,1,6,6,0

IAdoreMiAmor,intro,A',Eb:maj,I,maj,1,6,0
IAdoreMiAmor,intro,A',B:maj,bVI,maj,2,6,0
IAdoreMiAmor,intro,A',D:dim,VII,dim,2,6,0
IAdoreMiAmor,intro,A',Eb:maj,I,maj,3,6,0
IAdoreMiAmor,intro,A',B:maj,bVI,maj,4,6,0
IAdoreMiAmor,intro,A',Db:maj,bVII,maj,5,6,0
IAdoreMiAmor,intro,A',N,NonHarmonic,NonHarmonic,6,6,1
IAdoreMiAmor,intro,A',Gb:maj6,bIII,maj6,1,4,0
IAdoreMiAmor,intro,A',Ab:maj6,IV,maj6,1,4,0
IAdoreMiAmor,intro,A',Eb:maj,I,maj,2,4,0
IAdoreMiAmor,intro,A',Gb:maj6,bIII,maj6,3,4,0
IAdoreMiAmor,intro,A',Ab:maj6,IV,maj6,3,4,0
IAdoreMiAmor,intro,A',Eb:maj,I,maj,4,4,0
IAdoreMiAmor,intro,A',Gb:maj6,bIII,maj6,1,5,0
IAdoreMiAmor,intro,A',Ab:maj6,IV,maj6,1,5,0
IAdoreMiAmor,intro,A',Eb:maj,I,maj,2,5,0
IAdoreMiAmor,intro,A',Gb:maj6,bIII,maj6,3,5,0
IAdoreMiAmor,intro,A',Ab:maj6,IV,maj6,3,5,0
IAdoreMiAmor,intro,A',Eb:maj,I,maj,4,5,0
IAdoreMiAmor,intro,A',Eb:maj,I,maj,5,5,1
IAdoreMiAmor,verse,B,Eb:min11,I,min11,1,4,0
IAdoreMiAmor,verse,B,Ab:min11,IV,min11,2,4,0
IAdoreMiAmor,verse,B,Bb:min,V,min,2,4,0
IAdoreMiAmor,verse,B,Eb:min11,I,min11,3,4,0
IAdoreMiAmor,verse,B,Ab:min11,IV,min11,4,4,0
IAdoreMiAmor,verse,B,Bb:min,V,min,4,4,0
IAdoreMiAmor,verse,B,Ab:min11,IV,min11,1,5,0
IAdoreMiAmor,verse,B,Ab:min9,IV,min9,1,5,0
IAdoreMiAmor,verse,B,Eb:min13,I,min13,2,5,0
IAdoreMiAmor,verse,B,Ab:min9,IV,min9,3,5,0
IAdoreMiAmor,verse,B,Bb:sus4,V,sus4,4,5,0
IAdoreMiAmor,verse,B,Bb:maj,V,maj,4,5,0
IAdoreMiAmor,verse,B,Bb:maj,V,maj,5,5,0
IAdoreMiAmor,verse,B,Eb:min11,I,min11,1,4,0
IAdoreMiAmor,verse,B,Ab:min11,IV,min11,2,4,0
IAdoreMiAmor,verse,B,Bb:min,V,min,2,4,0
IAdoreMiAmor,verse,B,Eb:min11,I,min11,3,4,0
IAdoreMiAmor,verse,B,Ab:min11,IV,min11,4,4,0
IAdoreMiAmor,verse,B,Bb:min,V,min,4,4,0
IAdoreMiAmor,verse,B,Ab:min11,IV,min11,1,4,0
IAdoreMiAmor,verse,B,Ab:min9,IV,min9,1,4,0
IAdoreMiAmor,verse,B,Eb:min13,I,min13,2,4,0
IAdoreMiAmor,verse,B,Ab:min9,IV,min9,3,4,0
IAdoreMiAmor,verse,B,Bb:sus4,V,sus4,4,4,0
IAdoreMiAmor,verse,B,Bb:maj,V,maj,4,4,0
IAdoreMiAmor,chorus,A,Eb:maj,I,maj,1,5,0
IAdoreMiAmor,chorus,A,B:maj,bVI,maj,2,5,0
IAdoreMiAmor,chorus,A,Bb:7,V,7,2,5,0
IAdoreMiAmor,chorus,A,Eb:maj,I,maj,3,5,0
IAdoreMiAmor,chorus,A,Ab:min7,IV,min7,4,5,0
IAdoreMiAmor,chorus,A,Bb:11,V,11,5,5,0
IAdoreMiAmor,chorus,A,Eb:maj9,I,maj9,1,4,0
IAdoreMiAmor,chorus,A,Gb:maj,bIII,maj,2,4,0
IAdoreMiAmor,chorus,A,Ab:11,IV,11,2,4,0
IAdoreMiAmor,chorus,A,Eb:maj9,I,maj9,3,4,0
IAdoreMiAmor,chorus,A,Gb:maj,bIII,maj,4,4,0
IAdoreMiAmor,chorus,A,Ab:11,IV,11,4,4,0
IAdoreMiAmor,chorus,A,Eb:maj9,I,maj9,1,4,0
IAdoreMiAmor,chorus,A,Gb:maj,bIII,maj,2,4,0
IAdoreMiAmor,chorus,A,Ab:11,IV,11,2,4,0
IAdoreMiAmor,chorus,A,Eb:maj9,I,maj9,3,4,0
IAdoreMiAmor,chorus,A,Gb:maj,bIII,maj,4,4,0
IAdoreMiAmor,chorus,A,Ab:11,IV,11,4,4,0
IAdoreMiAmor,transition,C,Eb:maj9,I,maj9,1,2,0
IAdoreMiAmor,transition,C,Eb:maj9,I,maj9,2,2,0
IAdoreMiAmor,verse,B,Eb:min11,I,min11,1,4,0
IAdoreMiAmor,verse,B,Ab:min11,IV,min11,2,4,0
IAdoreMiAmor,verse,B,Bb:min,V,min,2,4,0
IAdoreMiAmor,verse,B,Eb:min11,I,min11,3,4,0
IAdoreMiAmor,verse,B,Ab:min11,IV,min11,4,4,0
IAdoreMiAmor,verse,B,Bb:min,V,min,4,4,0
IAdoreMiAmor,verse,B,Ab:min11,IV,min11,1,4,0
IAdoreMiAmor,verse,B,Ab:min9,IV,min9,1,4,0
IAdoreMiAmor,verse,B,Eb:min13,I,min13,2,4,0
IAdoreMiAmor,verse,B,Ab:min9,IV,min9,3,4,0
IAdoreMiAmor,verse,B,Bb:sus4,V,sus4,4,4,0
IAdoreMiAmor,verse,B,Bb:maj,V,maj,4,4,0
IAdoreMiAmor,verse,B,Eb:min11,I,min11,1,4,0
IAdoreMiAmor,verse,B,Ab:min/5,IV,min/5,2,4,0
IAdoreMiAmor,verse,B,Eb:min11,I,min11,3,4,0
IAdoreMiAmor,verse,B,Ab:min11,IV,min11,4,4,0
