There'stheGirl,verse,A,B:min,I,min,3,4,0
There'stheGirl,verse,A,G:maj,bVI,maj,4,4,0
There'stheGirl,verse,A,A:maj,bVII,maj,4,4,0
There'stheGirl,verse,A,E:min9,IV,min9,1,4,0
There'stheGirl,verse,A,F#:min7,V,min7,2,4,0
There'stheGirl,verse,A,B:min(11),I,min(11),3,4,0
There'stheGirl,verse,A,G:maj,bVI,maj,4,4,0
There'stheGirl,verse,A,A:maj,bVII,maj,4,4,0
There'stheGirl,verse,A,B:min,I,min,1,6,0
There'stheGirl,verse,A,G:maj,bVI,maj,2,6,0
There'stheGirl,verse,A,A:maj,bVII,maj,2,6,0
There'stheGirl,verse,A,E:min9,IV,min9,3,6,0
There'stheGirl,verse,A,F#:min7,V,min7,4,6,0
There'stheGirl,verse,A,G:maj,bVI,maj,5,6,0
There'stheGirl,chorus,B,A:maj,bVII,maj,6,6,0
There'stheGirl,chorus,B,B:min7,I,min7,1,4,0
There'stheGirl,chorus,B,F#:min7,V,min7,2,4,0
There'stheGirl,chorus,B,G:maj,bVI,maj,3,4,0
There'stheGirl,chorus,B,A:maj,bVII,maj,4,4,0
There'stheGirl,chorus,B,B:min7,I,min7,1,4,0
There'stheGirl,chorus,B,F#:min7,V,min7,2,4,0
There'stheGirl,chorus,B,G:maj,bVI,maj,3,4,0
There'stheGirl,chorus,B,A:maj,bVII,maj,4,4,0
There'stheGirl,chorus,B,B:min7,I,min7,1,4,0
There'stheGirl,chorus,B,F#:min7,V,min7,2,4,0
There'stheGirl,chorus,B,G:maj,bVI,maj,3,4,0
There'stheGirl,chorus,B,A:maj,bVII,maj,4,4,0
There'stheGirl,chorus,B,B:min7,I,min7,1,4,0
There'stheGirl,chorus,B,F#:min7,V,min7,2,4,0
There'stheGirl,chorus,B,G:maj,bVI,maj,3,4,0
There'stheGirl,transition,B,A:maj,bVII,maj,4,4,0
There'stheGirl,transition,B,B:min7,I,min7,1,4,0
There'stheGirl,transition,B,F#:min7,V,min7,2,4,0
There'stheGirl,transition,B,G:maj,bVI,maj,3,4,0
There'stheGirl,transition,B,A:maj,bVII,maj,4,4,0
There'stheGirl,transition,B,B:min7,I,min7,1,4,0
There'stheGirl,transition,B,F#:min7,V,min7,2,4,0
There'stheGirl,transition,B,G:maj,bVI,maj,3,4,0
There'stheGirl,bridge,D,A:maj,bVII,maj,4,4,0
There'stheGirl,bridge,D,E:min9,IV,min9,1,4,0
There'stheGirl,bridge,D,D:maj/3,bIII,maj/3,2,4,0
There'stheGirl,bridge,D,G:maj,bVI,maj,3,4,0
There'stheGirl,bridge,D,A:maj,bVII,maj,4,4,0
There'stheGirl,bridge,D,E:min9,IV,min9,1,5,0
There'stheGirl,bridge,D,D:maj/3,bIII,maj/3,2,5,0
There'stheGirl,bridge,D,G:maj,bVI,maj,3,5,0
There'stheGirl,bridge,D,A:maj,bVII,maj,4,5,0
There'stheGirl,chorus,B,A:maj,bVII,maj,5,5,0
There'stheGirl,chorus,B,B:min7,I,min7,1,4,0
There'stheGirl,chorus,B,F#:min7,V,min7,2,4,0
There'stheGirl,chorus,B,G:maj,bVI,maj,3,4,0
There'stheGirl,chorus,B,A:maj,bVII,maj,4,4,0
There'stheGirl,chorus,B,B:min7,I,min7,1,4,0
There'stheGirl,chorus,B,F#:min7,V,min7,2,4,0
There'stheGirl,chorus,B,G:maj,bVI,maj,3,4,0
There'stheGirl,chorus,B,A:maj,bVII,maj,4,4,0
There'stheGirl,chorus,B,B:min7,I,min7,1,4,0
There'stheGirl,chorus,B,F#:min7,V,min7,2,4,0
There'stheGirl,chorus,B,G:maj,bVI,maj,3,4,0
There'stheGirl,chorus,B,A:maj,bVII,maj,4,4,0
There'stheGirl,chorus,B,B:min7,I,min7,1,4,0
There'stheGirl,chorus,B,F#:min7,V,min7,2,4,0
There'stheGirl,chorus,B,G:maj,bVI,maj,3,4,0
There'stheGirl,transition,B,A:maj,bVII,maj,4,4,0
There'stheGirl,transition,B,B:min7,I,min7,1,4,0
There'stheGirl,transition,B,F#:min7,V,min7,2,4,0
There'stheGirl,transition,B,G:maj,bVI,maj,3,4,0
There'stheGirl,transition,B,A:maj,bVII,maj,4,4,0
There'stheGirl,transition,B,B:min7,I,min7,1,4,0
There'stheGirl,transition,B,F#:min7,V,min7,2,4,0
There'stheGirl,transition,B,G:maj,bVI,maj,3,4,0
There'stheGirl,outro,B,A:maj,bVII,maj,4,4,0
There'stheGirl,outro,B,B:min7,I,min7,1,4,0
There'stheGirl,outro,B,F#:min7,V,min7,2,4,0
There'stheGirl,outro,B,G:maj,bVI,maj,3,4,0
There'stheGirl,outro,B,A:maj,bVII,maj,4,4,0
There'stheGirl,outro,B,B:min7,I,min7,1,4,0
There'stheGirl,outro,B,F#:min7,V,min7,2,4,0
There'stheGirl,outro,B,G:maj,bVI,maj,3,4,0
There'stheGirl,fadeout,,A:maj,bVII,maj,4,4,0
There'stheGirl,fadeout,,B:min7,I,min7,1,4,0
There'stheGirl,fadeout,,F#:min7,V,min7,2,4,0
There'stheGirl,fadeout,,G:maj,bVI,maj,3,4,0
There'stheGirl,fadeout,,A:maj,bVII,maj,4,4,0
There'stheGirl,fadeout,,B:min7,I,min7,1,4,0
There'stheGirl,fadeout,,F#:min7,V,min7,2,4,0
There'stheGirl,fadeout,,G:maj,bVI,maj,3,4,0
ThatOldBlackMagic,intro,A,N,NonHarmonic,NonHarmonic,1,4,0
ThatOldBlackMagic,intro,A,N,NonHarmonic,NonHarmonic,2,4,0
ThatOldBlackMagic,intro,A,C:maj,I,maj,3,4,0
ThatOldBlackMagic,intro,A,C:maj,I,maj,4,4,0
ThatOldBlackMagic,intro,A,C:maj,I,maj,1,4,0
ThatOldBlackMagic,intro,A,C:maj,I,maj,2,4,0
ThatOldBlackMagic,intro,A,C:maj,I,maj,3,4,0
ThatOldBlackMagic,intro,A,C:maj,I,maj,4,4,0
ThatOldBlackMagic,verse,B,C:maj,I,maj,1,4,0
ThatOldBlackMagic,verse,B,C:maj,I,maj,2,4,0
ThatOldBlackMagic,verse,B,C:maj,I,maj,3,4,0
ThatOldBlackMagic,verse,B,C:maj,I,maj,4,4,0
ThatOldBlackMagic,verse,B,C:maj,I,maj,1,4,0
ThatOldBlackMagic,verse,B,C:maj,I,maj,2,4,0
ThatOldBlackMagic,verse,B,D:min7,II,min7,3,4,0
ThatOldBlackMagic,verse,B,D:min7,II,min7,4,4,0
ThatOldBlackMagic,verse,B,D:min7,II,min7,1,4,0
ThatOldBlackMagic,verse,B,D:min7,II,min7,2,4,0
ThatOldBlackMagic,verse,B,D:min7,II,min7,3,4,0
ThatOldBlackMagic,verse,B,D:min7,II,min7,4,4,0
ThatOldBlackMagic,verse,B,D:min7,II,min7,1,4,0
ThatOldBlackMagic,verse,B,D:min7,II,min7,2,4,0
ThatOldBlackMagic,verse,B,C:maj,I,maj,3,4,0
ThatOldBlackMagic,verse,B,C:maj,I,maj,4,4,0
ThatOldBlackMagic,verse,C,C:maj,I,maj,1,4,0
ThatOldBlackMagic,verse,C,C:maj,I,maj,2,4,0
ThatOldBlackMagic,verse,C,C:maj,I,maj,3,4,0
ThatOldBlackMagic,verse,C,C:maj,I,maj,4,4,0
ThatOldBlackMagic,verse,C,C:maj,I,maj,1,4,0
ThatOldBlackMagic,verse,C,C:maj,I,maj,2,4,0
ThatOldBlackMagic,verse,C,F:maj,IV,maj,3,4,0
ThatOldBlackMagic,verse,C,F:maj,IV,maj,4,4,0
ThatOldBlackMagic,verse,C,F:maj,IV,maj,1,4,0
ThatOldBlackMagic,verse,C,F:maj,IV,maj,2,4,0
ThatOldBlackMagic,verse,C,F:min/b3,IV,min/b3,2,4,0
ThatOldBlackMagic,verse,C,C:maj6/5,I,maj6/5,3,4,0
ThatOldBlackMagic,verse,C,C:dim,I,dim,4,4,0
ThatOldBlackMagic,verse,C,D:min7,II,min7,1,4,0
ThatOldBlackMagic,verse,C,G:7,V,7,2,4,0
ThatOldBlackMagic,verse,C,C:maj,I,maj,3,4,0
ThatOldBlackMagic,verse,C,C:maj,I,maj,4,4,0
ThatOldBlackMagic,bridge,D,A:min,VI,min,1,4,0
ThatOldBlackMagic,bridge,D,A:min,VI,min,2,4,0
ThatOldBlackMagic,bridge,D,B:7,VII,7,3,4,0
ThatOldBlackMagic,bridge,D,B:7,VII,7,4,4,0
ThatOldBlackMagic,bridge,D,E:7,III,7,1,4,0
ThatOldBlackMagic,bridge,D,E:7,III,7,2,4,0
ThatOldBlackMagic,bridge,D,A:7,VI,7,3,4,0
ThatOldBlackMagic,bridge,D,A:7,VI,7,4,4,0
ThatOldBlackMagic,bridge,D,D:min7,II,min7,1,4,0
ThatOldBlackMagic,bridge,D,D:min7,II,min7,2,4,0
ThatOldBlackMagic,bridge,D,F:min6,IV,min6,3,4,0
ThatOldBlackMagic,bridge,D,F:min6,IV,min6,4,4,0
ThatOldBlackMagic,bridge,D,N,NonHarmonic,NonHarmonic,1,4,0
ThatOldBlackMagic,bridge,D,D:hdim7,II,hdim7,2,4,0
ThatOldBlackMagic,bridge,D,N,NonHarmonic,NonHarmonic,3,4,0
ThatOldBlackMagic,bridge,D,N,NonHarmonic,NonHarmonic,4,4,0
ThatOldBlackMagic,interlude,A',N,NonHarmonic,NonHarmonic,1,4,0
ThatOldBlackMagic,interlude,A',N,NonHarmonic,NonHarmonic,2,4,0
ThatOldBlackMagic,interlude,A',C:maj,I,maj,3,4,0
ThatOldBlackMagic,interlude,A',C:maj,I,maj,4,4,0
ThatOldBlackMagic,interlude,A',C:maj,I,maj,1,4,0
ThatOldBlackMagic,interlude,A',C:maj,I,maj,2,4,0
ThatOldBlackMagic,interlude,A',C:maj,I,maj,3,4,0
ThatOldBlackMagic,interlude,A',C:maj,I,maj,4,4,0
ThatOldBlackMagic,verse,E,C:maj,I,maj,1,4,0
ThatOldBlackMagic,verse,E,C:maj,I,maj,2,4,0
ThatOldBlackMagic,verse,E,C:maj,I,maj,3,4,0
ThatOldBlackMagic,verse,E,C:maj,I,maj,4,4,0
ThatOldBlackMagic,verse,E,C:7,I,7,1,4,0
ThatOldBlackMagic,verse,E,C:7,I,7,2,4,0
ThatOldBlackMagic,verse,E,C:7,I,7,3,4,0
ThatOldBlackMagic,verse,E,C:7,I,7,4,4,0
ThatOldBlackMagic,verse,E,F:maj,IV,maj,1,4,0
ThatOldBlackMagic,verse,E,F:maj,IV,maj,2,4,0
ThatOldBlackMagic,verse,E,D:min,II,min,3,4,0
ThatOldBlackMagic,verse,E,D:min,II,min,4,4,0
ThatOldBlackMagic,verse,E,D:min7/5,II,min7/5,1,4,0
ThatOldBlackMagic,verse,E,D:min7/5,II,min7/5,2,4,0
ThatOldBlackMagic,verse,E,F:min6/b3,IV,min6/b3,2,4,0
ThatOldBlackMagic,verse,E,E:min7/b3,III,min7/b3,3,4,0
ThatOldBlackMagic,verse,E,E:min7/b3,III,min7/b3,4,4,0
ThatOldBlackMagic,verse,E,F#:dim,bV,dim,4,4,0
ThatOldBlackMagic,verse,E,D:min7,II,min7,1,4,0
ThatOldBlackMagic,verse,E,D:min7,II,min7,2,4,0
ThatOldBlackMagic,verse,E,D:hdim7,II,hdim7,3,4,0
ThatOldBlackMagic,verse,E,D:hdim7,II,hdim7,4,4,0
ThatOldBlackMagic,verse,E,D:hdim7,II,hdim7,1,4,0
ThatOldBlackMagic,verse,E,D:hdim7,II,hdim7,2,4,0
ThatOldBlackMagic,verse,E,C:maj,I,maj,3,4,0
ThatOldBlackMagic,verse,E,C:maj,I,maj,4,4,0
ThatOldBlackMagic,verse,E,D:min7,II,min7,1,4,0
ThatOldBlackMagic,verse,E,D:min7,II,min7,2,4,0
ThatOldBlackMagic,verse,E,D:hdim7,II,hdim7,3,4,0
ThatOldBlackMagic,verse,E,D:hdim7,II,hdim7,4,4,0
ThatOldBlackMagic,verse,E,D:min7,II,min7,1,4,0
ThatOldBlackMagic,verse,E,G:sus4(b7),V,sus4(b7),2,4,0
ThatOldBlackMagic,verse,E,C:maj,I,maj,3,4,0
ThatOldBlackMagic,verse,E,C:maj,I,maj,4,4,0
ThatOldBlackMagic,verse,E,D:min7,II,min7,1,4,0
ThatOldBlackMagic,verse,E,D:min7,II,min7,2,4,0
ThatOldBlackMagic,verse,E,D:hdim7,II,hdim7,3,4,0
ThatOldBlackMagic,verse,E,D:hdim7,II,hdim7,4,4,0
ThatOldBlackMagic,verse,E,D:min7,II,min7,1,4,0
ThatOldBlackMagic,verse,E,D:min7,II,min7,2,4,0
ThatOldBlackMagic,verse,E,C:maj,I,maj,3,4,0
ThatOldBlackMagic,verse,E,C:maj,I,maj,4,4,0
ThatOldBlackMagic,bridge,D,A:min,VI,min,1,4,0
ThatOldBlackMagic,bridge,D,A:min,VI,min,2,4,0
ThatOldBlackMagic,bridge,D,B:7,VII,7,3,4,0
ThatOldBlackMagic,bridge,D,B:7,VII,7,4,4,0
ThatOldBlackMagic,bridge,D,E:7,III,7,1,4,0
ThatOldBlackMagic,bridge,D,E:7,III,7,2,4,0
ThatOldBlackMagic,bridge,D,A:7,VI,7,3,4,0
ThatOldBlackMagic,bridge,D,A:7,VI,7,4,4,0
ThatOldBlackMagic,bridge,D,D:min7,II,min7,1,4,0
ThatOldBlackMagic,bridge,D,D:min7,II,min7,2,4,0
ThatOldBlackMagic,bridge,D,F:min6,IV,min6,3,4,0
ThatOldBlackMagic,bridge,D,F:min6,IV,min6,4,4,0
ThatOldBlackMagic,bridge,D,N,NonHarmonic,NonHarmonic,1,4,0
ThatOldBlackMagic,bridge,D,D:hdim7,II,hdim7,2,4,0
ThatOldBlackMagic,bridge,D,N,NonHarmonic,NonHarmonic,3,4,0
ThatOldBlackMagic,bridge,D,N,NonHarmonic,NonHarmonic,4,4,0
ThatOldBlackMagic,interlude,A',N,NonHarmonic,NonHarmonic,1,4,0
ThatOldBlackMagic,interlude,A',N,NonHarmonic,NonHarmonic,2,4,0
ThatOldBlackMagic,interlude,A',C:maj,I,maj,3,4,0
ThatOldBlackMagic,interlude,A',C:maj,I,maj,4,4,0
ThatOldBlackMagic,interlude,A',C:maj,I,maj,1,4,0
ThatOldBlackMagic,interlude,A',C:maj,I,maj,2,4,0
ThatOldBlackMagic,interlude,A',C:maj,I,maj,3,4,0
ThatOldBlackMagic,interlude,A',C:maj,I,maj,4,4,0
ThatOldBlackMagic,verse,E',C:maj,I,maj,1,4,0
ThatOldBlackMagic,verse,E',C:maj,I,maj,2,4,0
ThatOldBlackMagic,verse,E',C:maj,I,maj,3,4,0
ThatOldBlackMagic,verse,E',C:maj,I,maj,4,4,0
ThatOldBlackMagic,verse,E',C:7,I,7,1,4,0
ThatOldBlackMagic,verse,E',C:7,I,7,2,4,0
ThatOldBlackMagic,verse,E',C:7,I,7,3,4,0
ThatOldBlackMagic,verse,E',C:7,I,7,4,4,0
ThatOldBlackMagic,verse,E',F:maj,IV,maj,1,4,0
ThatOldBlackMagic,verse,E',F:maj,IV,maj,2,4,0
ThatOldBlackMagic,verse,E',D:min,II,min,3,4,0
ThatOldBlackMagic,verse,E',D:min,II,min,4,4,0
ThatOldBlackMagic,verse,E',F:maj6/3,IV,maj6/3,1,4,0
ThatOldBlackMagic,verse,E',F:maj6/3,IV,maj6/3,2,4,0
ThatOldBlackMagic,verse,E',F:min6/b3,IV,min6/b3,2,4,0
ThatOldBlackMagic,verse,E',E:min7/b3,III,min7/b3,3,4,0
ThatOldBlackMagic,verse,E',E:min7/b3,III,min7/b3,4,4,0
ThatOldBlackMagic,verse,E',F#:dim,bV,dim,4,4,0
ThatOldBlackMagic,verse,E',D:min7,II,min7,1,4,0
ThatOldBlackMagic,verse,E',D:min7,II,min7,2,4,0
ThatOldBlackMagic,verse,E',D:dim,II,dim,3,4,0
ThatOldBlackMagic,verse,E',D:dim,II,dim,4,4,0
ThatOldBlackMagic,verse,E',D:dim,II,dim,1,4,0
ThatOldBlackMagic,verse,E',G:7,V,7,2,4,0
ThatOldBlackMagic,verse,E',C:maj,I,maj,3,4,0
ThatOldBlackMagic,verse,E',C:maj,I,maj,4,4,0
ThatOldBlackMagic,verse,E',D:min7,II,min7,1,4,0
ThatOldBlackMagic,verse,E',D:min7,II,min7,2,4,0
ThatOldBlackMagic,verse,E',D:hdim7,II,hdim7,3,4,0
ThatOldBlackMagic,verse,E',D:hdim7,II,hdim7,4,4,0
ThatOldBlackMagic,verse,E',D:min7,II,min7,1,4,0
ThatOldBlackMagic,verse,E',D:min7,II,min7,2,4,0
ThatOldBlackMagic,verse,E',C:maj,I,maj,3,4,0
ThatOldBlackMagic,verse,E',C:maj,I,maj,4,4,0
ThatOldBlackMagic,verse,E',D:min7,II,min7,1,4,0
ThatOldBlackMagic,verse,E',D:min7,II,min7,2,4,0
ThatOldBlackMagic,verse,E',D:hdim7,II,hdim7,3,4,0
ThatOldBlackMagic,verse,E',D:hdim7,II,hdim7,4,4,0
ThatOldBlackMagic,verse,E',D:min7,II,min7,1,4,0
ThatOldBlackMagic,verse,E',D:min7,II,min7,2,4,0
ThatOldBlackMagic,verse,E',C:maj,I,maj,3,4,0
ThatOldBlackMagic,verse,E',C:maj,I,maj,4,4,0
ThatOldBlackMagic,verse,E',D:min7,II,min7,1,4,0
ThatOldBlackMagic,verse,E',D:min7,II,min7,2,4,0
ThatOldBlackMagic,verse,E',D:hdim7,II,hdim7,3,4,0
ThatOldBlackMagic,verse,E',D:hdim7,II,hdim7,4,4,0
ThatOldBlackMagic,verse,E',C:maj,I,maj,1,4,0
ThatOldBlackMagic,verse,E',C:maj,I,maj,2,4,0
ThatOldBlackMagic,verse,E',C:maj,I,maj,3,4,0
ThatOldBlackMagic,verse,E',C:maj,I,maj,4,4,0
ThatOldBlackMagic,verse,E',C:maj,I,maj,1,2,0
ThatOldBlackMagic,verse,E',C:maj,I,maj,2,2,0
ShapesOfThings,intro,A,F:maj,bVII,maj,1,2,0
ShapesOfThings,intro,A,F:maj,bVII,maj,2,2,0
ShapesOfThings,verse,A,G:maj,I,maj,1,2,0
ShapesOfThings,verse,A,D:min7,V,min7,2,2,0
ShapesOfThings,verse,A,G:maj,I,maj,1,2,0
ShapesOfThings,verse,A,D:min7,V,min7,2,2,0
ShapesOfThings,verse,A,G:maj,I,maj,1,2,0
ShapesOfThings,verse,A,D:min7,V,min7,2,2,0
ShapesOfThings,verse,A,F:maj,bVII,maj,1,2,0
ShapesOfThings,verse,A,F:maj,bVII,maj,2,2,0
ShapesOfThings,verse,A,G:maj,I,maj,1,2,0
ShapesOfThings,verse,A,D:min7,V,min7,2,2,0
ShapesOfThings,verse,A,G:maj,I,maj,1,2,0
ShapesOfThings,verse,A,D:min7,V,min7,2,2,0
ShapesOfThings,verse,A,G:maj,I,maj,1,2,0
ShapesOfThings,verse,A,D:min7,V,min7,2,2,0
ShapesOfThings,verse,A,F:maj,bVII,maj,1,2,0
ShapesOfThings,verse,A,F:maj,bVII,maj,2,2,0
ShapesOfThings,chorus,B,C:maj,IV,maj,1,4,0
ShapesOfThings,chorus,B,Bb:maj,bIII,maj,2,4,0
ShapesOfThings,chorus,B,C:maj,IV,maj,3,4,0
ShapesOfThings,chorus,B,Bb:maj,bIII,maj,4,4,0
ShapesOfThings,chorus,B,C:maj,IV,maj,1,5,0
ShapesOfThings,chorus,B,Bb:maj,bIII,maj,2,5,0
ShapesOfThings,chorus,B,Bb:maj,bIII,maj,3,5,0
ShapesOfThings,chorus,B,D:maj,V,maj,4,5,0
ShapesOfThings,chorus,B,D:maj,V,maj,5,5,0
ShapesOfThings,verse,A,G:maj,I,maj,1,2,0
ShapesOfThings,verse,A,D:min7,V,min7,2,2,0
ShapesOfThings,verse,A,G:maj,I,maj,1,2,0
ShapesOfThings,verse,A,D:min7,V,min7,2,2,0
ShapesOfThings,verse,A,G:maj,I,maj,1,2,0
ShapesOfThings,verse,A,D:min7,V,min7,2,2,0
ShapesOfThings,verse,A,F:maj,bVII,maj,1,2,0
ShapesOfThings,verse,A,F:maj,bVII,maj,2,2,0
ShapesOfThings,verse,A,G:maj,I,maj,1,2,0
ShapesOfThings,verse,A,D:min7,V,min7,2,2,0
ShapesOfThings,verse,A,G:maj,I,maj,1,2,0
ShapesOfThings,verse,A,D:min7,V,min7,2,2,0
ShapesOfThings,verse,A,G:maj,I,maj,1,2,0
ShapesOfThings,verse,A,D:min7,V,min7,2,2,0
ShapesOfThings,verse,A,F:maj,bVII,maj,1,2,0
ShapesOfThings,verse,A,F:maj,bVII,maj,2,2,0
ShapesOfThings,chorus,B,C:maj,IV,maj,1,4,0
ShapesOfThings,chorus,B,Bb:maj,bIII,maj,2,4,0
ShapesOfThings,chorus,B,C:maj,IV,maj,3,4,0
ShapesOfThings,chorus,B,Bb:maj,bIII,maj,4,4,0
ShapesOfThings,chorus,B,C:maj,IV,maj,1,5,0
ShapesOfThings,chorus,B,Bb:maj,bIII,maj,2,5,0
ShapesOfThings,chorus,B,Bb:maj,bIII,maj,3,5,0
ShapesOfThings,chorus,B,D:maj,V,maj,4,5,0
ShapesOfThings,chorus,B,D:maj,V,maj,5,5,0
ShapesOfThings,solo,C,G:maj,I,maj,1,4,0
ShapesOfThings,solo,C,F:maj,bVII,maj,2,4,0
ShapesOfThings,solo,C,G:maj,I,maj,3,4,0
ShapesOfThings,solo,C,F:maj,bVII,maj,4,4,0
ShapesOfThings,solo,C,G:maj,I,maj,1,4,0
ShapesOfThings,solo,C,F:maj,bVII,maj,2,4,0
ShapesOfThings,solo,C,G:maj,I,maj,3,4,0
ShapesOfThings,solo,C,F:maj,bVII,maj,4,4,0
ShapesOfThings,solo,C,G:maj,I,maj,1,4,0
ShapesOfThings,solo,C,F:maj,bVII,maj,2,4,0
ShapesOfThings,solo,C,G:maj,I,maj,3,4,0
ShapesOfThings,solo,C,F:maj,bVII,maj,4,4,0
ShapesOfThings,solo,C,G:maj,I,maj,1,5,0
ShapesOfThings,solo,C,F:maj,bVII,maj,2,5,0
ShapesOfThings,solo,C,Bb:maj,bIII,maj,3,5,0
ShapesOfThings,solo,C,D:maj,V,maj,4,5,0
ShapesOfThings,solo,C,D:maj,V,maj,5,5,0
ShapesOfThings,verse,A,G:maj,I,maj,1,2,0
ShapesOfThings,verse,A,D:min7,V,min7,2,2,0
ShapesOfThings,verse,A,G:maj,I,maj,1,2,0
ShapesOfThings,verse,A,D:min7,V,min7,2,2,0
ShapesOfThings,verse,A,G:maj,I,maj,1,2,0
ShapesOfThings,verse,A,D:min7,V,min7,2,2,0
ShapesOfThings,verse,A,F:maj,bVII,maj,1,2,0
ShapesOfThings,verse,A,F:maj,bVII,maj,2,2,0
ShapesOfThings,verse,A,G:maj,I,maj,1,1,0
IAdoreMiAmor,intro,A',Eb:maj,I,maj,1,6,0
IAdoreMiAmor,intro,A',B:maj,bVI,maj,2,6,0
IAdoreMiAmor,intro,A',D:dim,VII,dim,2,6,0
IAdoreMiAmor,intro,A',Eb:maj,I,maj,3,6,0
IAdoreMiAmor,intro,A',B:maj,bVI,maj,4,6,0
IAdoreMiAmor,intro,A',Db:maj,bVII,maj,5,6,0
IAdoreMiAmor,intro,A',N,NonHarmonic,NonHarmonic,6,6,1
IAdoreMiAmor,intro,A',Gb:maj6,bIII,maj6,1,4,0
IAdoreMiAmor,intro,A',Ab:maj6,IV,maj6,1,4,0
IAdoreMiAmor,intro,A',Eb:maj,I,maj,2,4,0
IAdoreMiAmor,intro,A',Gb:maj6,bIII,maj6,3,4,0
IAdoreMiAmor,intro,A',Ab:maj6,IV,maj6,3,4,0
IAdoreMiAmor,intro,A',Eb:maj,I,maj,4,4,0
IAdoreMiAmor,intro,A',Gb:maj6,bIII,maj6,1,5,0
IAdoreMiAmor,intro,A',Ab:maj6,IV,maj6,1,5,0
IAdoreMiAmor,intro,A',Eb:maj,I,maj,2,5,0
IAdoreMiAmor,intro,A',Gb:maj6,bIII,maj6,3,5,0
IAdoreMiAmor,intro,A',Ab:maj6,IV,maj6,3,5,0
IAdoreMiAmor,intro,A',Eb:maj,I,maj,4,5,0
IAdoreMiAmor,intro,A',Eb:maj,I,maj,5,5,1
IAdoreMiAmor,verse,B,Eb:min11,I,min11,1,4,0
IAdoreMiAmor,verse,B,Ab:min11,IV,min11,2,4,0
IAdoreMiAmor,verse,B,Bb:min,V,min,2,4,0
IAdoreMiAmor,verse,B,Eb:min11,I,min11,3,4,0
IAdoreMiAmor,verse,B,Ab:min11,IV,min11,4,4,0
IAdoreMiAmor,verse,B,Bb:min,V,min,4,4,0
IAdoreMiAmor,verse,B,Ab:min11,IV,min11,1,5,0
IAdoreMiAmor,verse,B,Ab:min9,IV,min9,1,5,0
IAdoreMiAmor,verse,B,Eb:min13,I,min13,2,5,0
IAdoreMiAmor,verse,B,Ab:min9,IV,min9,3,5,0
IAdoreMiAmor,verse,B,Bb:sus4,V,sus4,4,5,0
IAdoreMiAmor,verse,B,Bb:maj,V,maj,4,5,0
IAdoreMiAmor,verse,B,Bb:maj,V,maj,5,5,0
IAdoreMiAmor,verse,B,Eb:min11,I,min11,1,4,0
IAdoreMiAmor,verse,B,Ab:min11,IV,min11,2,4,0
