SongName	I-I	I-bII	I-II	I-bIII	I-III	I-bIV	I-IV	I-bV	I-V	I-bVI	I-VI	I-bVII	I-VII	bII-I	bII-bII	bII-II	bII-bIII	bII-III	bII-bIV	bII-IV	bII-bV	bII-V	bII-bVI	bII-VI	bII-bVII	bII-VII	III-I	III-bII	III-II	III-bIII	III-III	III-bIV	III-IV	III-bV	III-V	III-bVI	III-VI	III-bVII	III-VII	bIV-I	bIV-bII	bIV-II	bIV-bIII	bIV-III	bIV-bIV	bIV-IV	bIV-bV	bIV-V	bIV-bVI	bIV	VI	bIV-bVII	bIV-VII	IV-I	IV-bII	IV-II	IV-bIII	IV-III	IV-vIV	IV-IV	IV-bV	IV-V	IV-bVI	IV-VI	IV-bVII	IV-VII	bV-I	bV-bII	bV-II	bV-bIII	bV-III	bV-bIV	bV-IV	bV-bV	bV-V	bV-bVI	bV-VI	bV-bVII	bV-VII	V-I	V-bII	V-II	V-bIII	V-III	V-bIV	V-V	V-bVI	V-VI	V-bVII	V-VII	bVI-I	bVI-bII	bVI-II	bVI-bIII	bVI-III	bVI-bIV	bVI-IV	bVI-bV	bVI-V	bVI-bVI	bVI-VI	bVI-bVII	bVI-VII	VI-I	VI-bII	VI-II	VI-bIII	VI-III	VI-bIV	VI-IV	VI-bV	VI-V	VI-bVI	VI-VI	VI-bVII	VI-VII	bVII-I	bVII-bII	bVII-II	bVII-bIII	bVII-III	bVII-bIV	bVII-IV	bVII-bIV	bVII-IV	bVII-bV	bVII-V	bVII-bVI	bVII-VI	bVII-bVII	bVII-VII	VII-I	VII-bII	VII-II	VII-bIII	VII-III	VII-bIV	VII-IV	VII-bV	VII-V	VII-bVI	VII-VI	VII-bVII	VII-VII
ThroughTheYears	0	0.105263158	0	0.210526316	0	0.421052632	0.210526316	0	0	0	0.052631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0.92	0	0	0	0	0	0	0.166666667	0.5	0	0.083333333	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.272727273	0	0.381818182	0	0.345454545	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.512820513	0	0.179487179	0.102564103	0.205128205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Reminiscing	0.083333333	0	0	0.916666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.178571429	0	0	0.321428571	0	0.071428571	0	0	0	0	0.178571429	0.25	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.833333333	0	0	0	0	0	0	0.166666667	0	0	0	0	0	0.055555556	0	0.444444444	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0	0	1	0	0	0	0	0	0	0	0	0
WhatYouSeeIsWhatYouGet	0.034482759	0.396551724	0	0.568965517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.130434783	0	0	0.869565217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024691358	0	0	0	0.975308642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.588235294	0	0	0.329411765	0.082352941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CrackerboxPalace	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.538461538	0	0	0.353846154	0.107692308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102564103	0.076923077	0.41025641	0.205128205	0.205128205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TillTheEndOfTheDay	0	0	0	0	0	0	0	0	0.175	0	0	0.825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.210526316	0.157894737	0	0	0	0	0	0	0.631578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.357142857	0	0	0	0	0	0	0	0	0	0.428571429	0.142857143	0	0	0	0	0.769230769	0	0	0	0.230769231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.708333333	0	0	0	0.041666667	0	0	0	0.1875	0	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	0
Lucky	0.421052632	0	0	0	0	0	0	0	0	0	0	0.578947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222222222	0	0	0	0	0	0	0	0	0	0.777777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0.093023256	0	0	0.558139535	0.348837209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0.2	0	0	0	0	0	0	0	0	0	0	0	0.238095238	0	0	0	0	0	0	0.761904762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Here'sSomeLove	0.28	0	0	0.36	0.24	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.380952381	0	0	0	0.571428571	0.047619048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.578947368	0	0	0.421052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.285714286	0	0.285714286	0.142857143	0.285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
InTheMidnightHour	0	0	0	0.98	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.849056604	0	0	0	0.094339623	0	0	0	0.018867925	0	0	0.037735849	0	0	0	0	0	0	0	0	0	0	0	0	0.444444444	0	0	0.555555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WonderfulWorld,BeautifulPeople	0.041666667	0	0.125	0.708333333	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.785714286	0	0	0	0.214285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52173913	0	0	0	0.47826087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JohnnyReb	0.644067797	0	0	0.101694915	0.254237288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.714285714	0	0	0.285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PlayThatFunkyMusic	0.953125	0	0	0	0	0	0	0	0.046875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.882352941	0.117647059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DyerMaker	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.675675676	0	0	0.054054054	0	0.27027027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.083333333	0	0	0.625	0.125	0.166666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IfNotYou	0.5	0.166666667	0	0.2	0	0.133333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.652173913	0	0	0.130434783	0.217391304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TheNightChicagoDied	0.62745098	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28	0	0	0.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.72	0	0	0	0.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SheBop	0.866666667	0	0	0.08	0	0	0	0	0	0	0.053333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.285714286	0.714285714	0	0	0	0	0	0	0	0	0	0	0	0	0.285714286	0	0	0	0.428571429	0	0	0	0	0	0	0.285714286	0	0	0	0	0	0	0	0	0	0	0	0
EyeInTheSky	0.451612903	0	0	0.096774194	0	0	0	0	0	0	0.35483871	0.096774194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.181818182	0	0	0	0.181818182	0	0	0	0.090909091	0	0.090909091	0.454545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.25	0.25	0.333333333	0	0	0	0	0	0	0	0.1	0	0.466666667	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
You'reTheFirst,TheLast,MyEverything	0.693877551	0	0	0.12244898	0	0.183673469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0.2	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.181818182	0.090909091	0	0.636363636	0.090909091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.583333333	0	0.166666667	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3125	0.375	0	0	0	0.3125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FleshForFantasy	0.102040816	0	0	0	0	0	0	0	0	0	0.102040816	0.734693878	0	0	0	0	0	0	0	0	0	0	0	0	0.375	0	0	0.625	0	0	0	0	0	0	0	0	0	0	0	0.333333333	0	0	0	0	0	0	0	0.666666667	0	0	0	0	0	0	0	0	0	0	0	0	0.268292683	0.195121951	0	0.390243902	0.024390244	0	0	0	0.048780488	0	0	0.048780488	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.520833333	0	0	0.354166667	0	0	0	0	0.083333333	0	0.041666667	0	0	0	0	0	0	0	0	0	0	0	0	0
IfICanDream	0.162162162	0.027027027	0	0.216216216	0.081081081	0.459459459	0	0	0	0	0	0.054054054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333	0.666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.3	0.05	0.1	0.1	0.25	0	0	0	0	0.2	0	0	0.75	0	0	0	0.25	0	0	0	0	0	0	0	0.642857143	0	0.071428571	0	0.214285714	0.071428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.523809524	0.047619048	0	0.428571429	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YouMakeMeFeelLikeDancing	0.125	0	0	0.15625	0	0.71875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142857143	0	0	0.285714286	0	0	0	0	0	0	0.142857143	0.428571429	0	0	0	0	0	0	0	0	0	0	0	0	0.851851852	0.037037037	0	0	0.037037037	0	0	0	0	0	0	0.074074074	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KozmicBlues	0.651515152	0.227272727	0	0.045454545	0.03030303	0	0	0	0	0	0.045454545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
IslandOfLostSouls	0.134328358	0.119402985	0	0.388059701	0.149253731	0.208955224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0.04	0.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HandyMan	0.321428571	0	0	0.142857143	0.107142857	0.428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.153846154	0	0	0.307692308	0.538461538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.833333333	0	0	0	0.166666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.411764706	0	0	0.294117647	0	0.294117647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Getaway	0.695652174	0	0	0.304347826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.060606061	0.848484848	0	0	0	0.090909091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.71875	0	0	0.09375	0	0.125	0	0	0	0	0.0625	0	0.4	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
HappyJack	0.725	0	0	0.0375	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.404255319	0	0	0.063829787	0.531914894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
