| Mean Transition Probabilities | I      | bII    | II     | bIII   | III    | IV     | bV     | V      | bVI    | VI     | bVII   | VII    |
| III                           | 0.0042 | 0.018  | 0.0595 | 0.0152 | 0.0118 | 0.0349 | 0.0014 | 0.0    | 0.0014 | 0.0    | 0.0    | 0.0002 |
| IV                            | 0.1633 | 0.0262 | 0.0182 | 0.1938 | 0.1311 | 0.0072 | 0.0005 | 0.0002 | 0.011  | 0.0065 | 0.0077 | 0.0247 |
| bV                            | 0.0038 | 0.0    | 0.0    | 0.0055 | 0.0085 | 0.0    | 0.0014 | 0.0064 | 0.0021 | 0.0041 | 0.0011 | 0.0    |
| V                             | 0.128  | 0.0107 | 0.0106 | 0.0584 | 0.2697 | 0.0116 | 0.0017 | 0.0    | 0.0053 | 0.0013 | 0.0142 | 0.0068 |
| bVI                           | 0.01   | 0.0    | 0.0001 | 0.0097 | 0.0236 | 0.0014 | 0.0007 | 0.003  | 0.0097 | 0.0017 | 0.0451 | 0.0291 |
| VI                            | 0.0188 | 0.0384 | 0.0158 | 0.0381 | 0.0169 | 0.0802 | 0.0036 | 0.0    | 0.0002 | 0.0003 | 0.0027 | 0.0032 |
| bVII                          | 0.0462 | 0.0032 | 0.0027 | 0.0442 | 0.0216 | 0.0087 | 0.0005 | 0.0014 | 0.01   | 0.0    | 0.0122 | 0.063  |
| VII                           | 0.0068 | 0.0    | 0.0116 | 0.0    | 0.0002 | 0.0034 | 0.0103 | 0.0    | 0.0    | 0.0    | 0.0    | 0.0018 |

| Mean Transition Probabilities | I      | bII    | II     | bIII   | III    | IV     | bV     | V      | bVI    | VI     | bVII   | VII    |
| (Bar Phrase 4 of 4)           |        |        |        |        |        |        |        |        |        |        |        |        |
|-------------------------------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|
| I                             | 0.3234 | 0.0439 | 0.0114 | 0.1906 | 0.1011 | 0.0343 | 0.0036 | 0.0026 | 0.0137 | 0.0024 | 0.0249 | 0.0328 |
| bII                           | 0.0241 | 0.0003 | 0.0014 | 0.0005 | 0.0054 | 0.0    | 0.0    | 0.0045 | 0.0029 | 0.0028 | 0.0044 | 0.0014 |
| II                            | 0.0717 | 0.0246 | 0.0128 | 0.0277 | 0.0842 | 0.0109 | 0.0003 | 0.0079 | 0.0032 | 0.0    | 0.0015 | 0.0068 |
| bIII                          | 0.0286 | 0.0106 | 0.0027 | 0.0298 | 0.0045 | 0.0014 | 0.0    | 0.0025 | 0.0158 | 0.0018 | 0.0156 | 0.0184 |
| III                           | 0.014  | 0.0184 | 0.0067 | 0.037  | 0.0085 | 0.0596 | 0.0017 | 0.0018 | 0.0034 | 0.0041 | 0.0014 | 0.0014 |
| IV                            | 0.2668 | 0.0249 | 0.0101 | 0.044  | 0.1186 | 0.0147 | 0.0    | 0.0007 | 0.0141 | 0.0023 | 0.0078 | 0.0286 |
| bV                            | 0.0075 | 0.0027 | 0.0027 | 0.0055 | 0.0062 | 0.0014 | 0.0027 | 0.0041 | 0.0    | 0.0    | 0.0038 | 0.0003 |
| V                             | 0.4177 | 0.0309 | 0.0125 | 0.0885 | 0.0591 | 0.0246 | 0.0005 | 0.0007 | 0.0037 | 0.0009 | 0.0139 | 0.0066 |
| bVI                           | 0.0415 | 0.0    | 0.0    | 0.0064 | 0.0238 | 0.0051 | 0.0    | 0.011  | 0.0134 | 0.0028 | 0.0099 | 0.0295 |
| VI                            | 0.0378 | 0.0628 | 0.0077 | 0.0612 | 0.0361 | 0.023  | 0.0021 | 0.0014 | 0.0003 | 0.0    | 0.0    | 0.009  |
| bVII                          | 0.0941 | 0.0043 | 0.0    | 0.0513 | 0.0136 | 0.0108 | 0.0055 | 0.0026 | 0.0135 | 0.0    | 0.0145 | 0.0089 |
| VII                           | 0.0094 | 0.0014 | 0.0096 | 0.0021 | 0.0    | 0.0038 | 0.0017 | 0.0    | 0.0023 | 0.0014 | 0.0    | 0.0014 |



| Mean Transition Probabilities No Zeros | I      | bII    | II     | bIII   | III    | IV     | bV     | V      | bVI    | VI     | bVII   | VII    |
| (Bar Phrase 1 of 4)                    |        |        |        |        |        |        |        |        |        |        |        |        |
|----------------------------------------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|
| I                                      | 0.7174 | 0.5395 | 0.4815 | 0.5498 | 0.534  | 0.6058 | 0.413  | 0.2657 | 0.4374 | 0.3095 | 0.3145 | 0.4761 |
| bII                                    | 1.0    | 1.0    | nan    | 0.75   | nan    | nan    | nan    | 0.8773 | 1.0    | 0.7667 | 0.72   | 0.2    |
| II                                     | 0.7546 | 0.8088 | 0.7339 | 0.751  | 0.729  | 0.8274 | 0.963  | 0.625  | 0.6087 | 0.9167 | 0.25   | 0.6111 |
| bIII                                   | 0.8556 | 1.0    | 0.5625 | 0.885  | 0.8571 | nan    | 0.1667 | 1.0    | 0.8715 | 0.6667 | 0.6745 | 0.8281 |
| III                                    | 1.0    | 0.85   | 0.9213 | 0.8083 | 0.6    | 0.8732 | 1.0    | 1.0    | 0.7778 | 1.0    | nan    | nan    |
| IV                                     | 0.7531 | 0.6183 | 0.6946 | 0.8295 | 0.7453 | 0.6318 | nan    | nan    | 0.5455 | 0.4724 | 0.5982 | 0.5929 |
| bV                                     | 0.5    | nan    | nan    | 1.0    | 0.8333 | nan    | 1.0    | 0.9167 | 1.0    | 1.0    | 0.7778 | 1.0    |
| V                                      | 0.786  | 0.6356 | 0.75   | 0.8427 | 0.8248 | 0.6236 | 1.0    | nan    | 0.6981 | 0.4127 | 0.7196 | 0.8138 |
| bVI                                    | 0.9091 | nan    | 0.0625 | 0.7222 | 0.7735 | 1.0    | nan    | 0.8625 | 0.6792 | 0.5587 | 0.856  | 0.954  |
| VI                                     | 0.8802 | 0.8033 | 0.7748 | 0.8726 | 0.7593 | 0.8498 | 0.3655 | nan    | nan    | nan    | 1.0    | 0.7969 |
| bVII                                   | 0.864  | 0.75   | nan    | 0.923  | 0.8315 | 1.0    | 1.0    | nan    | 0.7986 | 0.25   | 0.7261 | 0.8522 |
| VII                                    | nan    | nan    | 0.9    | nan    | 0.2955 | 0.803  | 0.875  | nan    | 0.5    | 1.0    | 1.0    | nan    |

| Mean Transition Probabilities No Zeros | I      | bII    | II     | bIII   | III    | IV     | bV     | V      | bVI    | VI     | bVII   | VII    |
| (Bar Phrase 2 of 4)                    |        |        |        |        |        |        |        |        |        |        |        |        |
|----------------------------------------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|
| I                                      | 0.6447 | 0.5198 | 0.4424 | 0.6099 | 0.5304 | 0.5972 | 0.3626 | 0.3453 | 0.4315 | nan    | 0.438  | 0.5939 |
| bII                                    | 0.8724 | 0.875  | 1.0    | nan    | 0.75   | nan    | nan    | 0.8667 | 0.7232 | 0.825  | 0.6125 | 0.7222 |
| II                                     | 0.6702 | 0.7306 | 0.7691 | 0.8066 | 0.8777 | 0.7063 | 0.5    | 0.6875 | 0.3841 | 0.75   | 0.1    | 0.6533 |
| bIII                                   | 0.7874 | 0.8889 | 0.3611 | 0.8878 | 0.7747 | nan    | nan    | 1.0    | 0.6683 | nan    | 0.7462 | 0.8777 |
| III                                    | 0.6667 | 0.8082 | 0.6409 | 0.9186 | 0.7579 | 0.7893 | 1.0    | 1.0    | 0.5    | 1.0    | nan    | 1.0    |
| IV                                     | 0.7571 | 0.443  | 0.5526 | 0.5538 | 0.6407 | 0.6255 | nan    | 0.1964 | 0.5416 | 0.5789 | 0.5456 | 0.5641 |
| bV                                     | 1.0    | 1.0    | 0.5    | 1.0    | 1.0    | nan    | 1.0    | 0.6429 | nan    | 0.75   | 0.9048 | nan    |
| V                                      | 0.798  | 0.5027 | 0.5259 | 0.6856 | 0.5251 | 0.5825 | 0.4286 | 0.0556 | 0.7778 | nan    | 0.6593 | 0.6442 |
| bVI                                    | 0.6365 | 0.6964 | nan    | 0.7973 | 0.7038 | 0.8333 | nan    | 0.9286 | 0.6932 | 0.5    | 0.5267 | 0.7394 |
| VI                                     | 0.7475 | 0.8105 | 0.7013 | 0.6735 | 0.7462 | 0.6421 | 0.4821 | 0.75   | nan    | 1.0    | 0.675  | 0.8286 |
| bVII                                   | 0.8066 | 0.75   | nan    | 0.8157 | 0.6475 | 0.859  | 0.7933 | 0.4    | 0.6902 | nan    | 0.7167 | 0.6842 |
| VII                                    | 1.0    | nan    | 0.9286 | 1.0    | 1.0    | 0.5    | 0.875  | nan    | nan    | 1.0    | 1.0    | 0.5    |

| Mean Transition Probabilities No Zeros | I      | bII    | II     | bIII   | III    | IV     | bV     | V      | bVI    | VI     | bVII   | VII    |
| (Bar Phrase 3 of 4)                    |        |        |        |        |        |        |        |        |        |        |        |        |
|----------------------------------------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|
| I                                      | 0.7313 | 0.5506 | 0.6723 | 0.582  | 0.4932 | 0.4874 | 0.5648 | 0.4197 | 0.4314 | 0.75   | 0.416  | 0.4673 |
| bII                                    | 0.903  | 0.7778 | nan    | nan    | 1.0    | nan    | nan    | 0.7484 | nan    | 0.5833 | 0.85   | 0.2778 |
| II                                     | 0.7317 | 0.788  | 0.5863 | 0.8122 | 0.8248 | 0.7739 | nan    | 0.5194 | 0.0455 | 1.0    | 0.5    | 0.9105 |
| bIII                                   | 0.7217 | 0.8056 | 0.5    | 0.7473 | 0.7292 | 1.0    | nan    | 0.5556 | 0.7417 | 0.7083 | 0.641  | 0.8003 |
| III                                    | 0.775  | 0.9405 | 0.9048 | 0.7932 | 0.8611 | 0.9099 | 1.0    | nan    | 1.0    | nan    | nan    | 0.1111 |
| IV                                     | 0.6659 | 0.6166 | 0.5784 | 0.7367 | 0.6648 | 0.4389 | 0.3333 | 0.1333 | 0.473  | 0.5287 | 0.3738 | 0.5637 |
| bV                                     | 0.9333 | nan    | nan    | 1.0    | 0.8857 | nan    | 1.0    | 0.9333 | 0.75   | 1.0    | 0.4167 | nan    |
| V                                      | 0.7131 | 0.4873 | 0.6475 | 0.7477 | 0.8306 | 0.4446 | 0.3167 | nan    | 0.6408 | 0.2292 | 0.8613 | 0.6242 |
| bVI                                    | 0.8111 | nan    | 0.0625 | 0.8884 | 0.8197 | 1.0    | 0.5    | 0.7292 | 0.5896 | 0.625  | 0.8666 | 0.7083 |
| VI                                     | 0.8591 | 0.8504 | 0.7228 | 0.8427 | 0.685  | 0.825  | 0.6563 | nan    | 0.125  | 0.25   | 1.0    | 0.7778 |
| bVII                                   | 0.8027 | 0.5833 | 1.0    | 0.8716 | 0.7885 | 0.7019 | 0.3333 | 1.0    | 0.5597 | nan    | 0.6829 | 0.7931 |
| VII                                    | 1.0    | nan    | 0.9444 | nan    | 0.1667 | 0.8333 | 0.9375 | nan    | nan    | nan    | nan    | 0.6667 |


| Mean Transition Probabilities No Zeros | I      | bII    | II     | bIII   | III    | IV     | bV     | V      | bVI    | VI     | bVII   | VII    |
| (Bar Phrase 4 of 4)                    |        |        |        |        |        |        |        |        |        |        |        |        |
|----------------------------------------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|
| I                                      | 0.5694 | 0.381  | 0.4145 | 0.4858 | 0.4335 | 0.4241 | 0.3245 | 0.1868 | 0.3454 | 0.3515 | 0.4132 | 0.4196 |
| bII                                    | 0.8383 | 0.25   | 1.0    | 0.1955 | 0.9773 | nan    | nan    | 0.5437 | 0.7083 | 0.5179 | 0.6457 | 1.0    |
| II                                     | 0.7469 | 0.5786 | 0.5168 | 0.5939 | 0.7582 | 0.5278 | 0.25   | 0.8214 | 0.4722 | nan    | 0.3611 | 0.711  |
| bIII                                   | 0.8015 | 0.8556 | 1.0    | 0.7771 | 0.5447 | 1.0    | nan    | 0.4602 | 0.7179 | 0.4333 | 0.5981 | 0.8403 |
| III                                    | 0.6817 | 0.7887 | 0.5437 | 0.8435 | 0.7768 | 0.8197 | 0.6111 | 0.6667 | 0.8333 | 1.0    | 1.0    | 1.0    |
| IV                                     | 0.7451 | 0.4904 | 0.4922 | 0.4451 | 0.6177 | 0.4275 | nan    | 0.5    | 0.4892 | 0.4242 | 0.3146 | 0.5801 |
| bV                                     | 0.9167 | 1.0    | 1.0    | 1.0    | 0.9    | 1.0    | 1.0    | 1.0    | nan    | nan    | 0.9167 | 0.25   |
| V                                      | 0.7445 | 0.4026 | 0.3388 | 0.4674 | 0.4307 | 0.3511 | 0.1127 | 0.2468 | 0.271  | 0.3125 | 0.3758 | 0.3209 |
| bVI                                    | 0.7202 | nan    | nan    | 0.5189 | 0.8251 | 0.625  | nan    | 0.8948 | 0.61   | 0.5134 | 0.4834 | 0.7975 |
| VI                                     | 0.6721 | 0.738  | 0.5131 | 0.6973 | 0.6584 | 0.5988 | 0.5119 | 1.0    | 0.25   | nan    | nan    | 0.8167 |
| bVII                                   | 0.7149 | 0.6286 | nan    | 0.668  | 0.5501 | 0.7155 | 0.6677 | 0.4727 | 0.4702 | nan    | 0.3918 | 0.3417 |
| VII                                    | 0.8542 | 1.0    | 0.875  | 0.75   | nan    | 0.6875 | 0.625  | nan    | 0.8333 | 1.0    | nan    | 1.0    |

| Confidence Interval Transitional Probabilities | I              | bII            | II             | bIII           | III            | IV             | bV             | V              | bVI            | VI             | bVII           | VII            |
| (Bar Phrase 1 of 4)                            |                |                |                |                |                |                |                |                |                |                |                |                |
|------------------------------------------------|----------------|----------------|----------------|----------------|----------------|----------------|----------------|----------------|----------------|----------------|----------------|----------------|
| I                                              | 0.4052-0.4674  | 0.029-0.0538   | 0.0136-0.0313  | 0.1353-0.1796  | 0.0837-0.1211  | 0.0453-0.0758  | -0.0003-0.0059 | -0.0007-0.0037 | 0.0106-0.0265  | -0.0003-0.002  | 0.0031-0.0124  | 0.0309-0.0552  |
| bII                                            | 0.0001-0.0108  | -0.0013-0.0041 | 0.0-0.0        | -0.0008-0.0069 | 0.0-0.0        | 0.0-0.0        | 0.0-0.0        | 0.0052-0.0212  | -0.0011-0.0065 | -0.0005-0.0068 | 0.0001-0.0097  | -0.0003-0.0008 |
| II                                             | 0.0126-0.0329  | 0.0671-0.1058  | 0.0082-0.0259  | 0.0087-0.0263  | 0.0493-0.0826  | 0.0087-0.0276  | -0.0005-0.0084 | -0.0011-0.0045 | -0.0-0.0084    | -0.001-0.006   | -0.0003-0.001  | -0.0006-0.0073 |
| bIII                                           | 0.0012-0.0129  | 0.0001-0.0108  | -0.0012-0.0043 | 0.0079-0.0261  | -0.0001-0.0095 | 0.0-0.0        | -0.0002-0.0007 | -0.0013-0.0041 | 0.0247-0.0518  | -0.001-0.0047  | 0.0048-0.0192  | 0.0063-0.0232  |
| III                                            | -0.0011-0.0065 | 0.004-0.0193   | 0.0181-0.0425  | 0.0038-0.0184  | -0.0002-0.0067 | 0.0219-0.0475  | -0.0005-0.0088 | -0.0013-0.0041 | -0.0007-0.0071 | -0.0013-0.0041 | 0.0-0.0        | 0.0-0.0        |
| IV                                             | 0.1008-0.1448  | 0.0064-0.0224  | 0.0099-0.0282  | 0.2178-0.2776  | 0.0808-0.1214  | 0.0005-0.0099  | 0.0-0.0        | 0.0-0.0        | 0.0066-0.0218  | -0.0007-0.0058 | 0.0003-0.0095  | 0.0132-0.0323  |
| bV                                             | -0.0007-0.002  | 0.0-0.0        | 0.0-0.0        | -0.0005-0.0088 | -0.0006-0.0075 | 0.0-0.0        | -0.0011-0.0065 | 0.0-0.01       | -0.0013-0.0041 | -0.0005-0.0088 | -0.0007-0.0071 | -0.0013-0.0041 |
| V                                              | 0.0564-0.0922  | 0.0103-0.028   | 0.0022-0.0142  | 0.0682-0.1072  | 0.1435-0.1955  | 0.0082-0.0243  | -0.0013-0.0041 | 0.0-0.0        | -0.0001-0.0077 | -0.0006-0.0039 | 0.004-0.0177   | 0.0018-0.0138  |
| bVI                                            | 0.0-0.0099     | 0.0-0.0        | -0.0001-0.0003 | -0.0009-0.0068 | 0.0042-0.0191  | 0.0001-0.0108  | 0.0-0.0        | 0.0005-0.0113  | 0.002-0.0148   | -0.0007-0.0053 | 0.0211-0.0469  | 0.0264-0.0547  |
| VI                                             | 0.0096-0.029   | 0.0337-0.0631  | 0.0138-0.035   | 0.0249-0.0517  | 0.0111-0.0305  | 0.0552-0.0915  | -0.0006-0.0026 | 0.0-0.0        | 0.0-0.0        | 0.0-0.0        | -0.0005-0.0088 | 0.0021-0.0153  |
| bVII                                           | 0.0265-0.054   | -0.001-0.0051  | 0.0-0.0        | 0.0307-0.0604  | 0.0033-0.0172  | 0.0009-0.0128  | -0.0013-0.0041 | 0.0-0.0        | 0.0052-0.021   | -0.0003-0.001  | 0.0025-0.0154  | 0.0259-0.0534  |
| VII                                            | 0.0-0.0        | 0.0-0.0        | 0.0006-0.0117  | 0.0-0.0        | -0.0006-0.0022 | -0.0006-0.0072 | 0.0028-0.0164  | 0.0-0.0        | -0.0007-0.002  | -0.0011-0.0065 | -0.0013-0.0041 | 0.0-0.0        |

| Confidence Interval Transitional Probabilities | I              | bII            | II             | bIII           | III            | IV             | bV             | V              | bVI            | VI             | bVII           | VII            |
| (Bar Phrase 2 of 4)                            |                |                |                |                |                |                |                |                |                |                |                |                |
|------------------------------------------------|----------------|----------------|----------------|----------------|----------------|----------------|----------------|----------------|----------------|----------------|----------------|----------------|
| I                                              | 0.266-0.324    | 0.0308-0.0561  | 0.0033-0.0137  | 0.1591-0.2069  | 0.0673-0.1013  | 0.0344-0.0621  | 0.0002-0.0047  | 0.0002-0.0055  | 0.0059-0.0189  | 0.0-0.0        | 0.0099-0.0249  | 0.035-0.0626   |
| bII                                            | 0.0019-0.0148  | 0.0012-0.0132  | -0.0013-0.0041 | 0.0-0.0        | -0.001-0.0051  | 0.0-0.0        | 0.0-0.0        | 0.0005-0.0114  | -0.0004-0.0083 | -0.0-0.0091    | -0.0003-0.007  | -0.0005-0.0065 |
| II                                             | 0.0229-0.0468  | 0.0227-0.0474  | 0.0056-0.0218  | 0.029-0.0571   | 0.0852-0.1288  | 0.0077-0.0252  | -0.0007-0.002  | -0.0001-0.0076 | -0.0004-0.0036 | -0.001-0.0051  | -0.0001-0.0004 | -0.0002-0.0092 |
| bIII                                           | 0.0091-0.0276  | 0.0012-0.0134  | -0.0005-0.0025 | 0.0244-0.051   | 0.0028-0.0163  | 0.0-0.0        | 0.0-0.0        | -0.0011-0.0065 | 0.0087-0.0261  | 0.0-0.0        | 0.0101-0.0288  | 0.016-0.0393   |
| III                                            | 0.0002-0.0089  | 0.0129-0.0336  | 0.0032-0.0161  | 0.0294-0.0587  | 0.0071-0.024   | 0.0247-0.051   | -0.0011-0.0065 | 0.0001-0.0108  | -0.0007-0.002  | -0.0013-0.0041 | 0.0-0.0        | -0.0013-0.0041 |
| IV                                             | 0.2716-0.3321  | 0.013-0.0294   | 0.008-0.0238   | 0.0527-0.0839  | 0.1149-0.159   | 0.0093-0.0267  | 0.0-0.0        | -0.0002-0.0013 | 0.0085-0.0256  | 0.0005-0.0106  | 0.0046-0.0179  | 0.014-0.0339   |
| bV                                             | -0.0005-0.0088 | -0.0005-0.0088 | -0.0007-0.002  | 0.0001-0.0108  | 0.0017-0.0148  | 0.0-0.0        | -0.0013-0.0041 | -0.001-0.0046  | 0.0-0.0        | -0.001-0.0051  | -0.0005-0.008  | 0.0-0.0        |
| V                                              | 0.2413-0.3009  | 0.0124-0.0289  | 0.0071-0.0217  | 0.0781-0.1172  | 0.0502-0.0807  | 0.0216-0.0438  | -0.0006-0.0017 | -0.0001-0.0002 | -0.0007-0.0071 | 0.0-0.0        | 0.0033-0.0166  | 0.005-0.0197   |
| bVI                                            | 0.0069-0.0227  | -0.0003-0.0079 | 0.0-0.0        | 0.0092-0.0279  | 0.0078-0.025   | -0.0006-0.0075 | 0.0-0.0        | 0.0022-0.0156  | 0.008-0.0243   | -0.0007-0.002  | 0.0035-0.0152  | 0.0139-0.0347  |
| VI                                             | 0.0198-0.0437  | 0.0475-0.0813  | 0.0079-0.0248  | 0.0378-0.0674  | 0.0266-0.0532  | 0.0176-0.0387  | -0.0004-0.0057 | -0.001-0.003   | 0.0-0.0        | -0.0013-0.0041 | 0.0002-0.009   | 0.0018-0.0141  |
| bVII                                           | 0.0522-0.087   | -0.001-0.0051  | 0.0-0.0        | 0.039-0.0705   | 0.0057-0.0209  | 0.0011-0.0131  | 0.0003-0.0106  | -0.0005-0.0016 | 0.0082-0.0259  | 0.0-0.0        | 0.0147-0.0364  | 0.0125-0.0325  |
| VII                                            | 0.0009-0.0128  | 0.0-0.0        | 0.0022-0.0156  | -0.0011-0.0065 | -0.0013-0.0041 | -0.0007-0.002  | -0.0-0.0096    | 0.0-0.0        | 0.0-0.0        | -0.0005-0.0088 | -0.0013-0.0041 | -0.0007-0.002  |

| Confidence Interval Transitional Probabilities | I              | bII            | II             | bIII          | III            | IV             | bV             | V              | bVI            | VI             | bVII           | VII            |
| (Bar Phrase 3 of 4)                            |                |                |                |               |                |                |                |                |                |                |                |                |
|------------------------------------------------|----------------|----------------|----------------|---------------|----------------|----------------|----------------|----------------|----------------|----------------|----------------|----------------|
| I                                              | 0.3953-0.4582  | 0.0216-0.0448  | 0.0035-0.0168  | 0.1293-0.1736 | 0.0668-0.1007  | 0.0227-0.0441  | 0.0002-0.0091  | -0.0001-0.007  | 0.0092-0.0239  | -0.001-0.0051  | 0.0074-0.0222  | 0.0285-0.0522  |
| bII                                            | 0.0037-0.0185  | -0.0004-0.0089 | 0.0-0.0        | 0.0-0.0       | -0.0011-0.0065 | 0.0-0.0        | 0.0-0.0        | 0.0033-0.0172  | 0.0-0.0        | -0.0007-0.0055 | 0.0006-0.0111  | -0.0004-0.0011 |
| II                                             | 0.0129-0.0332  | 0.0479-0.0816  | 0.0055-0.0202  | 0.0129-0.0338 | 0.0951-0.14    | 0.0049-0.0205  | 0.0-0.0        | 0.0002-0.0084  | -0.0001-0.0002 | -0.0005-0.0088 | -0.0008-0.0049 | 0.0038-0.0187  |
